date,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MA_9,MA_21,MA_50,Signal,RF_Signal,RF_Prob_-1,RF_Prob_0,RF_Prob_1,RF_Prob
2025-05-08 04:19:00,566.17,566.35,566.17,566.35,151.0,100.0,0.1872222081395875,0.150406204188868,566.132,565.964,565.7225000000001,-1,-1,0.76,0.03,0.21,0.76
2025-05-08 04:20:00,566.35,566.5,566.35,566.36,3132.0,100.0,0.1952176889391239,0.1653433657722867,566.226,566.0360000000001,565.7634999999999,-1,-1,0.82,0.04,0.14,0.82
2025-05-08 04:21:00,566.35,566.49,566.23,566.31,16570.0,84.37499999998113,0.1850019551861805,0.1718962289102513,566.27,566.0989999999999,565.807,-1,-1,0.87,0.01,0.12,0.87
2025-05-08 04:22:00,566.21,566.25,566.12,566.21,500.0,59.4594594594661,0.1569106098196471,0.1669010225467166,566.284,566.141,565.8405,1,1,0.15,0.04,0.81,0.81
2025-05-08 04:23:00,566.16,566.28,566.16,566.22,173.0,54.54545454545141,0.1347358836842431,0.1561793095925588,566.29,566.163,565.874,1,1,0.05,0.04,0.91,0.91
2025-05-08 04:24:00,566.19,566.33,566.19,566.25,401.0,24.99999999998579,0.1199458112059801,0.1441014767970325,566.2700000000001,566.201,565.901,1,1,0.15,0.14,0.71,0.71
2025-05-08 04:25:00,566.29,566.29,566.29,566.29,20.0,34.78260869563498,0.1117092031088304,0.1333040522342985,566.256,566.2410000000001,565.941,1,1,0.02,0.04,0.94,0.94
2025-05-08 04:26:00,566.28,566.35,566.25,566.35,234.0,58.33333333335307,0.1106782510858011,0.1257621185181327,566.264,566.267,565.9885,1,1,0.05,0.03,0.92,0.92
2025-05-08 04:27:00,566.35,566.4,566.33,566.4,123.0,100.0,0.1126724334762911,0.1213988901708522,566.302,566.293,566.0395000000001,1,1,0.07,0.06,0.87,0.87
2025-05-08 04:28:00,566.4,566.46,566.36,566.38,559.0,90.00000000000568,0.1064373437775429,0.1164117080397491,566.334,566.312,566.0894999999999,1,1,0.05,0.18,0.77,0.77
2025-05-08 04:29:00,566.43,566.46,566.35,566.46,495.0,92.00000000000728,0.109704131971057,0.1141758493501851,566.376,566.3230000000001,566.1435,1,1,0.11,0.43,0.46,0.46
2025-05-08 04:30:00,566.42,566.5,566.42,566.5,182.0,92.00000000000728,0.1129407724173461,0.1137641570392387,566.418,566.3370000000001,566.1865,0,0,0.13,0.75,0.12,0.75
2025-05-08 04:31:00,566.49,566.55,566.44,566.49,1841.0,85.00000000000853,0.1088839901428855,0.1121374347404543,566.446,566.355,566.2270000000001,0,0,0.14,0.8,0.06,0.8
2025-05-08 04:32:00,566.47,566.56,566.47,566.5,284.0,81.25000000001333,0.103384572826144,0.1092198141023509,566.466,566.384,566.2625,0,0,0.12,0.82,0.06,0.82
2025-05-08 04:33:00,566.51,566.52,566.42,566.51,263.0,93.3333333333384,0.0972263755780886,0.1052220012609301,566.492,566.413,566.288,-1,0,0.11,0.68,0.21,0.68
2025-05-08 04:34:00,566.46,566.49,566.39,566.49,67.0,66.66666666666666,0.0866304843822263,0.0990248289680289,566.498,566.437,566.3190000000001,0,0,0.06,0.81,0.13,0.81
2025-05-08 04:35:00,566.47,566.49,566.42,566.49,201.0,40.0,0.0766072659200745,0.0915523079520441,566.496,566.457,566.3489999999999,1,1,0.07,0.1,0.83,0.83
2025-05-08 04:36:00,566.48,566.49,566.42,566.43,303.0,19.999999999977263,0.058772345803618,0.0806256539025687,566.484,566.465,566.366,1,1,0.06,0.15,0.79,0.79
2025-05-08 04:37:00,566.48,566.5,566.46,566.49,469.0,46.66666666667172,0.0540255642710008,0.0717589573587127,566.482,566.4739999999999,566.3835,0,0,0.08,0.72,0.2,0.72
2025-05-08 04:38:00,566.51,566.54,566.43,566.54,86.0,57.89473684209582,0.0560571035664452,0.0665250060946235,566.488,566.49,566.4010000000001,1,1,0.08,0.12,0.8,0.8
2025-05-08 04:39:00,566.46,566.55,566.46,566.52,461.0,57.89473684209582,0.0521557152344485,0.0617352424745652,566.4939999999999,566.4959999999999,566.4095,1,0,0.11,0.47,0.42,0.47
2025-05-08 04:40:00,566.55,566.55,566.5,566.5,186.0,52.38095238094979,0.0447811625726899,0.0560838825072734,566.496,566.4959999999999,566.4165,1,1,0.03,0.1,0.87,0.87
2025-05-08 04:41:00,566.54,566.61,566.5,566.59,3205.0,83.33333333334912,0.0512954706339314,0.0544877452161594,566.528,566.506,566.4305,0,0,0.1,0.69,0.21,0.69
2025-05-08 04:42:00,566.59,566.68,566.57,566.68,854.0,85.18518518519143,0.066047272686319,0.058340921039546,566.566,566.524,566.454,0,0,0.08,0.75,0.17,0.75
2025-05-08 04:43:00,566.67,566.69,566.56,566.56,778.0,52.94117647058627,0.0552403240372996,0.0573073887054638,566.5699999999999,566.5289999999999,566.471,1,1,0.12,0.13,0.75,0.75
2025-05-08 04:44:00,566.53,566.62,566.51,566.6,198.0,61.11111111111637,0.0520834034750805,0.0555660602953361,566.586,566.54,566.4885,1,1,0.06,0.03,0.91,0.91
2025-05-08 04:45:00,566.66,566.69,566.62,566.69,297.0,72.09302325581703,0.0608818846217218,0.0573380017374646,566.624,566.5600000000001,566.5085,1,1,0.03,0.04,0.93,0.93
